Date,Title,SABR BioProject,Size,Duration,URL,Interviewee,Interviewee 2,Interviewee 3,Interviewee 4,Interviewee 5,Interviewer,Interviewer 2,Notes
,Interview with Cal Abrams,http://sabr.org/bioproj/person/3ce234e4,29.1 MB,01:43:40,"https://sabr.box.com/shared/static/w5w05h0v1wz79csn1y2k.mp3,https://sabr.box.com/shared/static/fgtqrw4r5h8krlj76x3i.mp3","Abrams, Cal",,,,,,,2 parts
1991-09-27,Interview with Ace Adams,http://sabr.org/bioproj/person/7b5eb228,20.9 MB,01:10:07,"https://sabr.box.com/shared/static/gi8dx96linofj1pv3syc.mp3,https://sabr.box.com/shared/static/4edeoiegqpuelj56x0y3.mp3,https://sabr.box.com/shared/static/1pahghrthy1ukfx96tnz.mp3,https://sabr.box.com/shared/static/pd37nyonsb95716t6c0h.mp3","Adams, Ace",,,,,"Kelley, Brent",,4 parts
1967,Interview with Joe Adcock,http://sabr.org/bioproj/person/0999384d,30.8 MB,01:19:57,https://sabr.box.com/shared/static/70c5265b9ccebc536387.mp3,"Adcock, Joe",,,,,,,
1990-07-21,Interview with Tommie Agee,http://sabr.org/bioproj/person/b029a7d7,7.4 MB,00:19:43,https://sabr.box.com/shared/static/xi24ni26y9ym75upq7es.mp3,"Agee, Tommie",,,,,"Littlejohn, Bob",,Track 3
1991-11-29,Interview with Hugh “Red” Alexander,http://sabr.org/bioproj/person/51d4817f,82.6 MB,03:32:19,"https://sabr.box.com/shared/static/8xiolzb3vtexjqkoa1eh.mp3,https://sabr.box.com/shared/static/dxuqunsuexwkhr7g7cem.mp3,https://sabr.box.com/shared/static/wziwtuduvbtmuj5vilqj.mp3,https://sabr.box.com/shared/static/ottxjxesf2yejkg9txso.mp3,https://sabr.box.com/shared/static/u52joxsj2pkcz8qfuti0.mp3,https://sabr.box.com/shared/static/s3vsfwxnpl4jefqb6u6s.mp3,https://sabr.box.com/shared/static/nclmoxo3paza5xo09x7k.mp3","Alexander, Hugh",,,,,"Austin, Dan",,7 parts
1992-06-17,Interview with Tom Alston,http://sabr.org/bioproj/person/3c1c76e0,13.5 MB,00:34:35,"https://sabr.box.com/shared/static/chz2zeucvq1xnsyzs4e3.mp3,https://sabr.box.com/shared/static/271c6vtkaci57qiu04ch.mp3,https://sabr.box.com/shared/static/0sdxxfzma0ed31lg18rg.mp3","Alston, Tom",,,,,"Kelley, Brent",,3 parts
1984-02-09,Interview with Joe Altobelli,http://sabr.org/bioproj/person/da366c19,2.2 MB,00:07:56,https://sabr.box.com/shared/static/bfpcmkemjm0jta042uez.mp3,"Altobelli, Joe",,,,,,,
1993-02-07,Interview with George Alusik,http://sabr.org/bioproj/person/e58d891e,13.4 MB,00:31:52,https://sabr.box.com/shared/static/jjtdjjwvapuwsw1svsds.mp3,"Alusik, George",,,,,"Kelley, Brent",,
1992-08-10,Interview with Bill Antonello,http://sabr.org/bioproj/person/2984e58e,12.8 MB,00:33:06,https://sabr.box.com/shared/static/6ajca4rkvtwe2iqamhgp.mp3,"Antonello, Bill",,,,,"Kelley, Brent",,
1993-01,Interview with Luis Arroyo (in Spanish),http://sabr.org/bioproj/person/6a29b50a,56.4 MB,02:26:54,"https://sabr.box.com/shared/static/q9aszp3at0g87tfienyg.mp3,https://sabr.box.com/shared/static/xr4okyd4vc7t4k4qwlgd.mp3,https://sabr.box.com/shared/static/9exo5aeta6ny3dx8tfst.mp3,https://sabr.box.com/shared/static/9kyws58ps0v5gfo3cx4i.mp3,https://sabr.box.com/shared/static/l78p3ta8ca52fo4loxkd.mp3","Arroyo, Luis",,,,,"Otto, Frank",,5 parts – in Spanish